,Province,District,Sector,Cell,Bridge Site Name,Project Stage,Project Code,Bridge Type, GPS (Latitude),GPS (Longitude),Individuals Directly Served,Form: Form Name,Assessment Date,Original_Community_col,Community_Served,Prov_ID,Cell_ID,Dist_ID,Sect_ID
0,Western Province,Rusizi,Giheke,Gako,Buzi,Rejected,1014107,Suspended,-2.42056,28.9662,Unknown,Project Assessment - 2018.10.29,2018-10-29,Community Served 1,Buzi,3,370501,36,3605
1,Western Province,Rusizi,Giheke,Gako,Kamigisha,Rejected,1014106,Suspended,-2.42486,28.957259999999998,Unknown,Project Assessment - 2018.10.29,2018-10-29,Community Served 1,Kabuga,3,370501,36,3605
2,Western Province,Rusizi,Giheke,Gako,Gacyamo,Rejected,1014108,Suspension,-2.41855,28.969459999999998,Unknown,Project Assessment - 2018.10.29,2018-10-29,Community Served 1,Gacyamo,3,370501,36,3605
3,Western Province,Rusizi,Giheke,Gako,Nyakabanda,Rejected,1014105,Suspended,-2.42715,28.95369,Unknown,Project Assessment - 2018.10.29,2018-10-29,Community Served 1,Kanoga,3,370501,36,3605
4,Western Province,Rusizi,Giheke,Rwega,Impala,Rejected,1014166,Unknown,-2.44246,28.9333,Unknown,Project Assessment - 2018.10.29,2018-10-29,Community Served 1,Impala,3,360507,36,3605
5,Western Province,Rusizi,Giheke,Rwa,Rwega,Rejected,1014165,Unknown,-2.4334,28.933740000000004,Unknown,Project Assessment - 2018.10.29,2018-10-29,Community Served 1,Rwega,3,421505,36,3605
6,Western Province,Rusizi,Giheke,Kamashangi,Gitwa,Rejected,1014016,Unknown,-2.434499,28.946438,Unknown,Project Assessment - 2018.10.27,2018-10-27,Community Served 1,Gitwa,3,360903,36,3605
7,Western Province,Rusizi,Giheke,Kamashangi,Isha,Rejected,1014017,Suspended,-2.452429,28.938734999999998,Unknown,Project Assessment - 2018.10.27,2018-10-27,Community Served 1,Isha,3,360903,36,3605
8,Western Province,Rusizi,Giheke,Cyendajuru,Maryohe,Rejected,1014155,Unknown,-2.44319,28.97635,Unknown,Project Assessment - 2018.10.29,2018-10-29,Community Served 1,Kigenge,3,360501,36,3605
9,Western Province,Rusizi,Giheke,Ntura,Kabyuma,Rejected,1014156,Suspended,-2.4492599999999998,28.95522,Unknown,Project Assessment - 2018.10.29,2018-10-29,Community Served 1,Kabyuma,3,360506,36,3605
