Province,District,Sector,Bridge Site Name,Project Stage,Project Code,Bridge Type, GPS (Latitude),GPS (Longitude),Assessment Date,Original_Community_col,Community_Served,Prov_ID,Dist_ID,Sect_ID,Mean share of harvest sold,School_count, Population of Sector ,Access rate,Umurenge SACCO,MFIs,Bank Branch,ATM,Bank Agent,Mobile Money Agent,Banked,Other formal (non-bank),Informal only,Excluded,num_communities_served,Cluster
Western Province,Rusizi,Giheke,Buzi,Rejected,1014107,Suspended,-2.42056,28.9662,2018-10-29,Community Served 1,Buzi,3,36,3605,20.1,6," 19,359.00 ",64.0,38:21,49:27,53:26,52:00,50:17,32:21,27,38,14,21,5,1
Western Province,Rusizi,Giheke,Kamigisha,Rejected,1014106,Suspended,-2.42486,28.957259999999998,2018-10-29,Community Served 1,Kabuga,3,36,3605,20.1,6," 19,359.00 ",64.0,38:21,49:27,53:26,52:00,50:17,32:21,27,38,14,21,5,1
Western Province,Rusizi,Giheke,Gacyamo,Rejected,1014108,Suspension,-2.41855,28.969459999999998,2018-10-29,Community Served 1,Gacyamo,3,36,3605,20.1,6," 19,359.00 ",64.0,38:21,49:27,53:26,52:00,50:17,32:21,27,38,14,21,5,1
Western Province,Rusizi,Giheke,Nyakabanda,Rejected,1014105,Suspended,-2.42715,28.95369,2018-10-29,Community Served 1,Kanoga,3,36,3605,20.1,6," 19,359.00 ",64.0,38:21,49:27,53:26,52:00,50:17,32:21,27,38,14,21,5,1
Western Province,Rusizi,Giheke,Impala,Rejected,1014166,Unknown,-2.44246,28.9333,2018-10-29,Community Served 1,Impala,3,36,3605,20.1,6," 19,359.00 ",64.0,38:21,49:27,53:26,52:00,50:17,32:21,27,38,14,21,1,1
Western Province,Rusizi,Giheke,Rwega,Rejected,1014165,Unknown,-2.4334,28.933740000000004,2018-10-29,Community Served 1,Rwega,3,36,3605,20.1,6," 19,359.00 ",64.0,38:21,49:27,53:26,52:00,50:17,32:21,27,38,14,21,1,1
Western Province,Rusizi,Giheke,Gitwa,Rejected,1014016,Unknown,-2.434499,28.946438,2018-10-27,Community Served 1,Gitwa,3,36,3605,20.1,6," 19,359.00 ",64.0,38:21,49:27,53:26,52:00,50:17,32:21,27,38,14,21,1,1
Western Province,Rusizi,Giheke,Isha,Rejected,1014017,Suspended,-2.452429,28.938734999999998,2018-10-27,Community Served 1,Isha,3,36,3605,20.1,6," 19,359.00 ",64.0,38:21,49:27,53:26,52:00,50:17,32:21,27,38,14,21,1,1
Western Province,Rusizi,Giheke,Maryohe,Rejected,1014155,Unknown,-2.44319,28.97635,2018-10-29,Community Served 1,Kigenge,3,36,3605,20.1,6," 19,359.00 ",64.0,38:21,49:27,53:26,52:00,50:17,32:21,27,38,14,21,2,1
Western Province,Rusizi,Giheke,Kabyuma,Rejected,1014156,Suspended,-2.4492599999999998,28.95522,2018-10-29,Community Served 1,Kabyuma,3,36,3605,20.1,6," 19,359.00 ",64.0,38:21,49:27,53:26,52:00,50:17,32:21,27,38,14,21,5,1
Western Province,Rusizi,Giheke,Kabeza,Rejected,1014142,Suspended,-2.46169,28.96475,2018-10-29,Community Served 1,Kabeza,3,36,3605,20.1,6," 19,359.00 ",64.0,38:21,49:27,53:26,52:00,50:17,32:21,27,38,14,21,5,1
Western Province,Rusizi,Giheke,Kabakure,Rejected,1014144,Suspended,-2.46402,28.95182,2018-10-29,Community Served 1,Kabakure,3,36,3605,20.1,6," 19,359.00 ",64.0,38:21,49:27,53:26,52:00,50:17,32:21,27,38,14,21,2,1
Western Province,Rusizi,Giheke,Burembo,Rejected,1014143,Suspended,-2.44613,28.969859999999997,2018-10-29,Community Served 1,Burembo,3,36,3605,20.1,6," 19,359.00 ",64.0,38:21,49:27,53:26,52:00,50:17,32:21,27,38,14,21,2,1
Western Province,Rusizi,Giheke,Rugombo,Rejected,1014139,Suspended,-2.46906,28.95562,2018-10-29,Community Served 1,Rugomba,3,36,3605,20.1,6," 19,359.00 ",64.0,38:21,49:27,53:26,52:00,50:17,32:21,27,38,14,21,5,1
Western Province,Rusizi,Giheke,Karambo,Rejected,1014140,Suspended,-2.45575,28.976409999999998,2018-10-29,Community Served 1,Giheke,3,36,3605,20.1,6," 19,359.00 ",64.0,38:21,49:27,53:26,52:00,50:17,32:21,27,38,14,21,2,1
Western Province,Rusizi,Bugarama,Rusayo,Rejected,1007661,Suspension,-2.697308,29.029517,2018-12-13,Community Served 1,Pera cell,3,36,3601,20.1,5," 30,169.00 ",64.0,38:21,49:27,53:26,52:00,50:17,32:21,27,38,14,21,2,0
