Project Stage, GPS (Latitude),GPS (Longitude),Mean share of harvest sold,School_count, Population of Sector ,Access rate,Umurenge SACCO,MFIs,Bank Branch,ATM,Bank Agent,Mobile Money Agent,Banked,Other formal (non-bank),Informal only,Excluded,num_communities_served,Bridge Type_Other,Bridge Type_Suspended,Bridge Type_Suspension,Bridge Type_Unknown,Province_Eastern Province,Province_Kigali,Province_Northern Province,Province_Southern Province,Province_Western Province,District_Bugesera,District_Burera,District_Gakenke,District_Gasabo,District_Gatsibo,District_Gicumbi,District_Gisagara,District_Huye,District_Kamonyi,District_Karongi,District_Kayonza,District_Kicukiro,District_Kirehe,District_Muhanga,District_Musanze,District_Ngoma,District_Ngororero,District_Nyabihu,District_Nyagatare,District_Nyamagabe,District_Nyamasheke,District_Nyanza,District_Nyarugenge,District_Nyaruguru,District_Rubavu,District_Ruhango,District_Rulindo,District_Rusizi,District_Rutsiro,District_Rwamagana
0,-2.42056,28.9662,20.1,6,19359,64.0,38.35,49.45,53.43333333333333,52.0,50.28333333333333,32.35,27,38,14,21,5,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,-2.42486,28.957259999999998,20.1,6,19359,64.0,38.35,49.45,53.43333333333333,52.0,50.28333333333333,32.35,27,38,14,21,5,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,-2.41855,28.969459999999998,20.1,6,19359,64.0,38.35,49.45,53.43333333333333,52.0,50.28333333333333,32.35,27,38,14,21,5,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,-2.42715,28.95369,20.1,6,19359,64.0,38.35,49.45,53.43333333333333,52.0,50.28333333333333,32.35,27,38,14,21,5,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,-2.44246,28.9333,20.1,6,19359,64.0,38.35,49.45,53.43333333333333,52.0,50.28333333333333,32.35,27,38,14,21,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,-2.4334,28.933740000000004,20.1,6,19359,64.0,38.35,49.45,53.43333333333333,52.0,50.28333333333333,32.35,27,38,14,21,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,-2.434499,28.946438,20.1,6,19359,64.0,38.35,49.45,53.43333333333333,52.0,50.28333333333333,32.35,27,38,14,21,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,-2.452429,28.938734999999998,20.1,6,19359,64.0,38.35,49.45,53.43333333333333,52.0,50.28333333333333,32.35,27,38,14,21,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,-2.44319,28.97635,20.1,6,19359,64.0,38.35,49.45,53.43333333333333,52.0,50.28333333333333,32.35,27,38,14,21,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,-2.4492599999999998,28.95522,20.1,6,19359,64.0,38.35,49.45,53.43333333333333,52.0,50.28333333333333,32.35,27,38,14,21,5,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,-2.46169,28.96475,20.1,6,19359,64.0,38.35,49.45,53.43333333333333,52.0,50.28333333333333,32.35,27,38,14,21,5,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
