District,Umurenge SACCO,MFIs,Bank Branch,ATM,Bank Agent,Mobile Money Agent
Nyarugenge,24:00,24:10,25:56,25:00,23:00,15:15
Gasabo,30:31,34:03,36:07,37:00,32:00,20:14
Kicukiro,30:13,28:00,30:00,29:55,28:21,17:00
Nyanza,55:00,58:00,62:00,61:00,59:03,40:00
Gisagara,51:23,60:23,55:00,54:19,55:00,44:00
Nyaruguru,51:00,59:04,64:28,65:15,59:00,31:40
Huye,44:00,53:57,53:00,50:00,46:12,38:30
Nyamagabe,45:00,49:00,47:19,51:00,49:00,29:22
Ruhango,49:00,49:00,50:31,49:56,50:00,32:21
Muhanga,50:00,58:00,56:07,58:00,53:12,33:14
Kamonyi,49:00,54:04,54:00,56:00,57:06,29:22
Karongi,57:00,61:00,60:00,57:01,56:16,45:09
Rutsiro,49:10,64:00,64:10,65:00,65:00,34:53
Rubavu,42:00,53:00,49:10,51:00,45:00,25:00
Nyabihu,54:00,57:41,60:00,63:01,56:00,32:00
Ngororero,61:00,65:00,67:24,70:00,64:30,43:00
Rusizi,38:21,49:27,53:26,52:00,50:17,32:21
Nyamasheke,50:00,57:00,55:14,59:00,57:00,26:45
Rulindo,44:40,55:00,55:23,55:00,45:00,31:00
Gakenke,55:00,67:00,64:01,68:55,66:11,38:00
Musanze,48:00,55:40,58:00,58:16,53:27,31:54
Burera,50:06,57:24,59:05,60:21,54:00,35:35
Gicumbi,49:57,59:00,57:00,60:33,57:00,33:32
Rwamagana,40:05,44:59,43:00,47:17,42:00,23:10
Nyagatare,52:10,55:09,57:00,58:00,51:00,28:52
Gatsibo,48:00,54:00,54:39,60:00,49:00,27:00
Kayonza,47:48,56:55,57:18,59:00,54:00,26:28
Kirehe,51:00,66:00,61:07,62:00,59:10,31:02
Ngoma,48:00,63:27,62:00,64:00,59:20,29:00
Bugesera,50:00,55:49,57:00,57:58,53:43,30:14
