district,Banked,Other formal (non-bank),Informal only,Excluded
Nyarugenge,69,25,3,3
Kicukiro,58,36,3,3
Gasabo,52,36,5,7
Rwamagana,34,42,13,11
Ruhango,31,43,18,8
Gicumbi,27,46,20,7
Muhanga,30,42,17,11
Kamonyi,20,52,18,10
Gakenke,18,52,21,9
Rulindo,27,42,21,10
Nyagatare,25,44,24,7
Kayonza,21,48,24,7
Huye,25,43,19,13
Nyaruguru,20,47,21,12
Burera,20,46,26,8
Rusizi,27,38,14,21
Bugesera,20,45,25,10
Nyamasheke,17,48,15,20
Musanze,21,41,28,10
Gisagara,19,43,23,15
Gatsibo,22,39,26,13
Nyabihu,18,43,28,11
Ngoma,15,44,30,11
Nyanza,15,43,22,20
Ngororero,11,47,25,17
Nyamagabe,20,37,28,15
Karongi,17,40,21,22
Kirehe,14,42,31,13
Rubavu,19,30,30,21
Rutsiro,16,32,30,22
